itinerary_id,origin,destination,departure_date,return_date,price_raw,price_formatted,currency,outbound_duration,return_duration,outbound_stops,return_stops,outbound_carriers,return_carriers,outbound_departure,outbound_arrival,return_departure,return_arrival,score,is_self_transfer,search_key
10075-2607080240--32139-1-14325-2607090255|14325-2607170930--32213-1-10075-2607172200,BOM,MRU,2026-07-08,2026-07-17,101601.0,"₹101,601",INR,1545,660,1,1,Kenya Airways,IndiGo,2026-07-08T02:40:00,2026-07-09T02:55:00,2026-07-17T09:30:00,2026-07-17T22:00:00,0.180143,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607082225--32348-1-14325-2607090925|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-08,2026-07-16,101700.0,"₹101,700",INR,750,385,1,0,Emirates,Air India,2026-07-08T22:25:00,2026-07-09T09:25:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.349593,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607080520--32348-1-14325-2607081710|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-08,2026-07-17,101700.0,"₹101,700",INR,800,385,1,0,Emirates,Air India,2026-07-08T05:20:00,2026-07-08T17:10:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.334809,False,BOM-MRU_2026-07-08_2026-07-17
10957-2607090820--32672-0-14325-2607091420|14325-2607170930--32213-1-10957-2607172215,DEL,MRU,2026-07-09,2026-07-17,101704.0,"₹101,704",INR,450,675,0,1,Air India,IndiGo,2026-07-09T08:20:00,2026-07-09T14:20:00,2026-07-17T09:30:00,2026-07-17T22:15:00,0.603353,False,DEL-MRU_2026-07-09_2026-07-17
10957-2607101045--32213-1-14325-2607110830|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-10,2026-07-16,101776.0,"₹101,776",INR,1395,1845,1,1,IndiGo,Turkish Airlines,2026-07-10T10:45:00,2026-07-11T08:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.220488,False,DEL-MRU_2026-07-10_2026-07-16
10957-2607100930--32213-1-14325-2607110830|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-10,2026-07-16,101776.0,"₹101,776",INR,1470,1845,1,1,IndiGo,Turkish Airlines,2026-07-10T09:30:00,2026-07-11T08:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.2155,False,DEL-MRU_2026-07-10_2026-07-16
10957-2607100545--32213-1-14325-2607110830|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-10,2026-07-16,101776.0,"₹101,776",INR,1695,1845,1,1,IndiGo,Turkish Airlines,2026-07-10T05:45:00,2026-07-11T08:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.201803,False,DEL-MRU_2026-07-10_2026-07-16
10957-2607100300--32213-1-14325-2607110830|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-10,2026-07-16,101776.0,"₹101,776",INR,1860,1845,1,1,IndiGo,Turkish Airlines,2026-07-10T03:00:00,2026-07-11T08:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.192816,False,DEL-MRU_2026-07-10_2026-07-16
10075-2607090425--32348-1-14325-2607091710|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-09,2026-07-16,101781.0,"₹101,781",INR,855,385,1,0,Emirates,Air India,2026-07-09T04:25:00,2026-07-09T17:10:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.386279,False,BOM-MRU_2026-07-09_2026-07-16
10075-2607092225--32348-1-14325-2607100925|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-09,2026-07-16,101782.0,"₹101,782",INR,750,385,1,0,Emirates,Air India,2026-07-09T22:25:00,2026-07-10T09:25:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.42201,False,BOM-MRU_2026-07-09_2026-07-16
